LEDISAS2	Code = 28	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
28	4	77	2	1	4	46	25	3	2	2	2	1	1	1	2.180000e+00	4.755800e+02	2479	1	1
28	4	78	2	1	5	12	51	3	5	5	2	1	1	1	1.930000e+00	4.775100e+02	1473	1	1
28	4	79	2	2	1	42	5	4	2	2	2	1	2	2	3.370000e+00	4.808800e+02	3124	0	1
28	4	80	2	2	2	25	43	4	2	2	2	1	2	2	4.220000e+00	4.851000e+02	1509	0	1
28	4	81	2	1	1	3	10	4	5	5	2	1	1	1	1.890000e+00	4.869900e+02	2014	1	1
28	4	82	2	1	2	21	3	5	3	3	2	1	1	1	2	4.889900e+02	1811	1	1
28	4	83	2	1	3	44	5	4	3	3	2	1	1	1	1.930000e+00	4.909200e+02	1312	1	1
28	4	84	2	1	4	17	36	5	3	3	2	1	1	1	2.060000e+00	4.929800e+02	2001	1	1
28	4	1	3	2	1	48	4	5	4	4	2	1	2	2	4.260000e+00	4.972400e+02	2570	0	NaN
28	4	2	3	2	2	25	1	4	5	5	2	1	2	2	3.900000e+00	5.011400e+02	3361	0	1
28	4	3	3	2	3	53	16	2	5	5	2	1	2	2	3.030000e+00	5.041700e+02	1337	0	1
28	4	4	3	1	1	54	1	2	3	3	2	1	1	1	2.020000e+00	5.061900e+02	3489	1	1
28	4	5	3	1	2	49	20	4	3	3	2	1	1	1	2.190000e+00	5.083800e+02	1075	1	1
28	4	6	3	1	3	19	14	3	2	2	2	1	1	1	2.120000e+00	5.105000e+02	2405	1	1
28	4	7	3	1	4	31	21	2	3	3	2	1	1	1	1.810000e+00	5.123100e+02	4227	1	1
28	4	8	3	1	5	34	24	2	5	5	2	1	1	1	1.990000e+00	5.143000e+02	2375	1	1
